,order_id,first_name,last_name,email,Shipping Address,Shipping Country,Shipping Type,item,Colour,size
1,1324,Shari,Farlambe,sfarlambe1@sun.com,9265 Canary Pass,Peru,1 Day,Hat,Yellow,Small
5,2020,Aldric,Ravillas,aravillas5@devhub.com,83568 Sullivan Hill,China,1 Day,Hat,Black,Large
11,9060,Kit,Josham,kjoshamb@usda.gov,80070 Claremont Trail,Iraq,1 Day,Sweatshirt,White,Medium
15,2060,Willi,Christauffour,wchristauffourf@comsenz.com,3948 Blackbird Crossing,New Zealand,1 Day,Sweatshirt,Grey,Large
19,2131,Merell,Gallanders,mgallandersj@independent.co.uk,624 Sommers Hill,China,1 Day,Hat,Grey,Large
23,3915,Peggy,Nutkins,pnutkinsn@zdnet.com,506 Northwestern Park,Poland,1 Day,Hoody,Red,Medium
26,5577,Thaine,Rydeard,trydeardq@alexa.com,8360 Shelley Parkway,Barbados,1 Day,Hat,Yellow,Small
29,6772,Jorrie,Hebburn,jhebburnt@psu.edu,213 Bellgrove Trail,Indonesia,1 Day,Sweatshirt,Grey,Large
31,7087,Leone,Frude,lfrudev@dedecms.com,7906 Clemons Avenue,Peru,1 Day,Hoody,Black,X Large
32,6881,Leroi,Corryer,lcorryerw@auda.org.au,8415 Del Mar Center,China,1 Day,TShirt,Grey,Large
34,6175,Son,Burbury,sburburyy@weibo.com,030 La Follette Place,Indonesia,1 Day,TShirt,Yellow,Small
36,6661,Fitz,Campes,fcampes10@people.com.cn,98312 Glendale Way,Bosnia and Herzegovina,1 Day,Sweatshirt,White,Large
37,6282,Cele,Solloway,csolloway11@livejournal.com,15 Express Trail,Philippines,1 Day,Hat,Red,Small
39,1154,Darn,Polland,dpolland13@vinaora.com,66327 La Follette Lane,Brazil,1 Day,TShirt,White,Small
41,1777,Chan,Duchesne,cduchesne15@live.com,071 Pine View Point,Peru,1 Day,TShirt,Black,Medium
42,3483,Sarge,Flattman,sflattman16@networkadvertising.org,3859 Packers Terrace,Portugal,1 Day,Hoody,White,Large
45,4246,Johnny,Sutlieff,jsutlieff19@arstechnica.com,64424 Pepper Wood Pass,Bulgaria,1 Day,TShirt,Red,Medium
47,5016,Gusella,Milburne,gmilburne1b@answers.com,4288 Riverside Park,Cameroon,1 Day,TShirt,Black,Medium
50,2014,Cullen,Heale,cheale1e@trellian.com,3418 Carpenter Court,Philippines,1 Day,Hoody,Yellow,Small
51,9374,Cathe,Tiffney,ctiffney1f@godaddy.com,1 Shopko Center,Indonesia,1 Day,Sweatshirt,Grey,X Large
54,3322,Lorain,Trewinnard,ltrewinnard1i@booking.com,8493 Oak Pass,Czech Republic,1 Day,Hat,Black,Medium
56,9387,Gabie,Longshaw,glongshaw1k@taobao.com,39525 Portage Park,Philippines,1 Day,TShirt,Grey,X Large
57,6804,Cissy,Eveleigh,ceveleigh1l@weather.com,88 Cottonwood Plaza,Russia,1 Day,Hat,Yellow,Medium
58,3482,Durante,Southcomb,dsouthcomb1m@salon.com,13593 Vernon Trail,China,1 Day,Sweatshirt,Red,Medium
63,1656,Hilarius,Garvagh,hgarvagh1r@hugedomains.com,8 Northview Point,Thailand,1 Day,Hoody,Yellow,X Large
64,9345,Husain,Rogger,hrogger1s@craigslist.org,240 Meadow Vale Point,Albania,1 Day,TShirt,White,Small
65,5548,Midge,Kield,mkield1t@liveinternet.ru,7 Burning Wood Road,Czech Republic,1 Day,Hoody,White,X Large
67,1998,Selina,D'Ruel,sdruel1v@scribd.com,20 Southridge Center,China,1 Day,Hoody,Yellow,X Large
76,3982,Alexina,Thornley,athornley24@indiatimes.com,9105 Grayhawk Trail,China,1 Day,Sweatshirt,Black,X Large
78,9458,Lamar,Eitter,leitter26@blogtalkradio.com,499 Mallard Avenue,Thailand,1 Day,Sweatshirt,Black,Small
79,5068,Tybalt,Stonner,tstonner27@yolasite.com,66146 Briar Crest Trail,China,1 Day,Sweatshirt,Red,Small
80,2079,Noll,Pree,npree28@time.com,732 4th Trail,Canada,1 Day,Hoody,White,X Large
83,6500,Anabella,Tollfree,atollfree2b@aol.com,306 Oak Valley Plaza,Portugal,1 Day,Hoody,White,Small
